case_id,terminal_status,format,platform,style_id,narrative_structure,card_count,gate1_pass,gate2_pass,duration_s,degrade_level
func_01_policy_general,passed,image,xiaohongshu,clean_business,pyramid_argument,6,True,True,3.00,
func_02_policy_pro,passed,image,xiaohongshu,clean_business,pyramid_argument,6,True,True,1.68,
func_03_research_pro,passed,image,xiaohongshu,clean_business,pyramid_argument,6,True,True,1.57,
func_04_news_event_general,passed,image,xiaohongshu,clean_business,pyramid_argument,6,True,True,1.63,
func_05_personal_opinion_general,passed,image,xiaohongshu,clean_business,pyramid_argument,6,True,True,1.56,
