case_id,terminal_status,format,platform,style_id,narrative_structure,card_count,gate1_pass,gate2_pass,duration_s,degrade_level,realness_check
func_01_policy_general,degraded,image,wechat_moments,clean_business,pyramid_argument,5,False,n/a,77.17,L2,ok
func_02_policy_pro,degraded,image,wechat_moments,clean_business,pyramid_argument,5,False,n/a,156.06,L2,ok
func_03_research_pro,degraded,image,wechat_moments,data_journalism,pyramid_research_pro,5,False,n/a,93.39,L2,ok
func_04_news_event_general,degraded,image,wechat_moments,data_journalism,multi_source_timeline,5,False,n/a,94.13,L2,ok
func_05_personal_opinion_general,degraded,image,xiaohongshu,xiaohongshu_warm,before_after_comparison,3,False,n/a,100.97,L2,ok
func_06_video_timeline,degraded,video,wechat_moments,data_journalism,chronological_timeline,4,False,n/a,170.78,L2,format=video 但产物无 .mp4 (L1 降级)
func_07_multi_source,degraded,image,wechat_moments,data_journalism,multi_source_timeline,5,False,n/a,97.69,L2,ok
func_08_video_research,degraded,video,wechat_moments,data_journalism,chronological_timeline,6,False,n/a,148.32,L2,format=video 但产物无 .mp4 (L1 降级)
